System_name,DefenceFinder,PADLOC
PDC-S50,,PDC-S50
PDC-S51,,PDC-S51
PDC-S52,,PDC-S52
PDC-S53,,PDC-S53
PDC-S54,,PDC-S54
PDC-S55,,PDC-S55
PDC-S56,,PDC-S56
PDC-S57,,PDC-S57
PDC-S58,,PDC-S58
PDC-S59,,PDC-S59
PDC-S60,,PDC-S60
PDC-S61,,PDC-S61
PDC-S62,,PDC-S62
PDC-S63,,PDC-S63
PDC-S64,,PDC-S64
PDC-S65,,PDC-S65
PDC-S66,,PDC-S66
PDC-S67,,PDC-S67
PDC-S68,,PDC-S68
PDC-S69,,PDC-S69
PDC-S70,,PDC-S70
PDC-S71,,PDC-S71
PDC-S72,,PDC-S72
PDC-S73,,PDC-S73
PT,SspBCDE,PT
PT,Dnd,PT
Panchino_gp28,Panchino_gp28,
Paris,Paris,Paris
PfiAT,PfiAT,
Phrann_gp29_gp30,Phrann_gp29_gp30,
Pif,Pif,PifA
Ppl,Gao_Ppl,ppl
Prithvi,Prithvi,
Prometheus,Prometheus,
PrrC,PrrC,PrrC
PsyrTA,PsyrTA,PsyrTA
Pycsar,Pycsar,pycsar
Qat,Gao_Qat,qatABCD
RADAR,RADAR,RADAR
RL,Gao_RL,
RM,RM,RM
Retron,Retron,retron
RexAB,RexAB,RexAB
RloC,RloC,PDC-S06
RnlAB,RnlAB,
RosmerTA,RosmerTA,RosmerTA
Rst_2TM_1TM_TIR,Rst_2TM_1TM_TIR,
Rst_PARIS,Rst_PARIS,
Rst_RT-nitrilase-Tm,Rst_RT-nitrilase-Tm,
SDIC1,SDIC1,
SDIC3,SDIC3,
SDIC4,SDIC4,
SEFIR,SEFIR,SEFIR
SanaTA,SanaTA,
Septu,Septu,septu
Shango,Shango,Shango
Shedu,Shedu,shedu
Shedu,PD-T4-8,shedu
ShosTA,ShosTA,ShosTA
Sirona,Sirona,
SoFIC,SoFIC,SoFic
Stk2,Stk2,Stk2
Sucellos,Sucellos,
TIR-I,TIR-I,
TIR-III,TIR-III,
TIR-IV,TIR-IV,
TIR-NLR,Rst_TIR-NLR,TIR-NLR
TIR-VII,TIR-VII,
TIR-VIII,TIR-VIII,
Taranis,Taranis,
TerY,Gao_TerY,TerY-P
TgvAB,TgvAB,
Tha,Tha,
Thoeris,Thoeris,thoeris
Tiamat,Tiamat,Tiamat
Tin,,Tin
Tmn,Gao_Tmn,tmn
Toutatis,Toutatis,
Ukko,Ukko,
Upx,Gao_Upx,upx
Uzume,Uzume,Uzume
VP1796,VP1796,
VP1817,VP1817,
VP1823,VP1823,
VP1826,VP1826,
VP1839,VP1839,
VP1840,VP1840,
VP1848,VP1848,
VP1851,VP1851,
VP1853,VP1853,
VSPR,,VSPR
Veles,Veles,
Viperin,Viperin,viperin
Wadjet,Wadjet,wadjet
Zorya,Zorya,zorya
dXTPase,dCTPdeaminase,dXTPas
dXTPase,dGTPase,dXTPase
gcu142,gcu142,
gcu167,gcu167,
gcu233,gcu233,
gcu24,gcu24,
gcu76,gcu76,
gcuWGS21,gcuWGS21,
gop,Rst_gop_beta_cll,gop
hma,Hma,hma
spbK,SpbK,spbK
Anti_BREX,Anti_BREX,
Anti_CBASS,Anti_CBASS,
Anti_CRISPR,Anti_CRISPR,
Anti_DSR,Anti_DSR,
Anti_DarTG,Anti_DarTG,
Anti_Dnd,Anti_Dnd,
Anti_Gabija,Anti_Gabija,
Anti_Hachiman,Anti_Hachiman,
Anti_Pycsar,Anti_Pycsar,
Anti_RM,Anti_RM,
Anti_RecBCD,Anti_RecBCD,
Anti_Retron,Anti_Retron,
Anti_TA,Anti_TA,
Anti_Thoeris,Anti_Thoeris,
NADP,NADP,
Other,Other,
